name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Bernd Leno,GK,0,0,0.90676175,0,0,0,0,8,1,0,?
Aaron Ramsdale,GK,0,0,0.90676175,12.15,0,0,1.225,8,1,1.25,?
Emiliano Martínez,GK,0,0,1.33375275,15.25,0,0,1.525,6,0,1.5,?
Robin Olsen,GK,0,0,1.33375275,0,0,0,0,6,0,0,?
David Raya Martin,GK,0,0.010248992,1.079356,26.6,2.5,0,2.9,9,1,3.75,?
Alvaro Fernandes,GK,0,0,1.079356,0,0,0,0,9,1,0,?
Jonas Lössl,GK,0,0,1.079356,0,0,0,0,9,1,0,?
Jason Steele,GK,0,0,1.2400805,0,0,0,0,4,1,0,?
Robert Sánchez,GK,0,0,1.2400805,10.3,0,0,1.025,4,1,3.75,?
Nick Pope,GK,0,0,2.02454,29.45,0,0,2.925,7,1,3.25,?
Will Norris,GK,0,0,2.02454,0,0,0,0,7,1,0,?
Wayne Hennessey,GK,0,0.076379322,2.02454,0,0,0,0,7,1,0,?
Kepa Arrizabalaga,GK,0,0,1.27957325,0,0,0,0,7,1,0,?
Kepa Arrizabalaga,GK,0,0,1.27957325,0,0,0,0,8,0,0,?
Edouard Mendy,GK,0,0,1.27957325,11.3,0,0,1.125,7,1,3,?
Edouard Mendy,GK,0,0,1.27957325,11.3,0,0,1.125,8,0,3,?
Vicente Guaita,GK,0,0,1.1848225,20.85,0,0,2.075,3,1,5,?
Jack Butland,GK,0,0,1.1848225,0,0,0,0,3,1,0,?
Jordan Pickford,GK,0,0.010282479,1.3224125,21.4,2.5,0,2.375,10,0,3.5,?
Asmir Begović,GK,0,0,1.3224125,0,0,0,0,10,0,0,?
Kasper Schmeichel,GK,0,0,1.66523175,32.05,0,0,3.225,3,1,4.25,?
Eldin Jakupovic,GK,0,0,1.66523175,0,0,0,0,3,1,0,?
Illan Meslier,GK,0,0,1.44508,20.75,0,0,2.05,4,0,3,?
Adrián San Miguel del Castillo,GK,0,0,0.68606725,0,0,0,0,2,1,0,?
Alisson Ramses Becker,GK,0,0,0.68606725,19.4,0,0,1.95,2,1,4.75,?
Caoimhin Kelleher,GK,0,0,0.68606725,0,0,0,0,2,1,0,?
Ederson Santana de Moraes,GK,0,0,0.487577075,13.25,0,0,1.325,1,1,4.75,?
Zack Steffen,GK,0,0,0.487577075,0,0,0,0,1,1,0,?
Scott Carson,GK,0,0,0.487577075,0,0,0,0,1,1,0,?
David de Gea,GK,0,0,1.37272125,11.7,0,0,1.15,8,0,1.25,?
David de Gea,GK,0,0,1.37272125,11.7,0,0,1.15,9,1,1.25,?
Dean Henderson,GK,0,0,1.37272125,0,0,0,0,8,0,0,?
Dean Henderson,GK,0,0,1.37272125,0,0,0,0,9,1,0,?
Tom Heaton,GK,0,0,1.37272125,0,0,0,0,8,0,0,?
Tom Heaton,GK,0,0,1.37272125,0,0,0,0,9,1,0,?
Karl Darlow,GK,0,0,1.22220975,0,0,0,0,1,0,0,?
Martin Dubravka,GK,0,0,1.22220975,11.05,0,0,1.1,1,0,3.75,?
Michael McGovern,GK,0,0,2.1536025,0,0,0,0,5,1,0,?
Tim Krul,GK,0,0.119801797,2.1536025,31.6,3.325,0,3.5,5,1,6.5,?
Angus Gunn,GK,0,0,2.1536025,0,0,0,0,5,1,0,?
Fraser Forster,GK,0,0,2.3503575,39,0,0,3.925,6,0,3.75,?
Alex McCarthy,GK,0,0.005852276,2.3503575,0,0,0,0,6,0,0,?
Willy Caballero,GK,0,0,2.3503575,0,0,0,0,6,0,0,?
Hugo Lloris,GK,0,0,0.84534775,18.75,0,0,1.875,5,0,4.25,?
Pierluigi Gollini,GK,0,0,0.84534775,0,0,0,0,5,0,0,?
Ben Foster,GK,0,0,1.628413,19,0,0,1.9,10,0,1.75,?
Daniel Bachmann,GK,0,0,1.628413,0,0,0,0,10,0,0,?
Darren Randolph,GK,0,0,1.7356265,0,0,0,0,9,0,0,?
Lukasz Fabianski,GK,0,0,1.7356265,16.7,0,0,1.675,9,0,1.5,?
Alphonse Areola,GK,0,0,1.7356265,0,0,0,0,9,0,0,?
John Ruddy,GK,0,0,1.6424095,0,0,0,0,2,0,0,?
José Malheiro de Sá,GK,0,0,1.6424095,19.6,0,0,1.975,2,0,3.25,?
